# Avida Dominant Data
# Thu Feb 20 13:15:39 2014
#  1: Update
#  2: Average Merit of the Dominant Genotype
#  3: Average Gestation Time of the Dominant Genotype
#  4: Average Fitness of the Dominant Genotype
#  5: Repro Rate?
#  6: Size of Dominant Genotype
#  7: Copied Size of Dominant Genotype
#  8: Executed Size of Dominant Genotype
#  9: Abundance of Dominant Genotype
# 10: Number of Births
# 11: Number of Dominant Breed True?
# 12: Dominant Gene Depth
# 13: Dominant Breed In
# 14: Max Fitness?
# 15: Genotype ID of Dominant Genotype
# 16: Name of the Dominant Genotype

0 0 0 0 0 50 0 0 3600 0 0 0 0 0 1 050-aaaaa 
1000 44 123 0.357724 0.00813008 47 47 44 36 4 4 12 0 0.363636 74340 047-aaaoj 
2000 352 119 2.95798 0.00840336 47 47 44 416 103 84 24 0 3.42857 173879 047-aabos 
3000 1440 107 13.4579 0.00934579 48 47.9998 45 217 50 37 31 0 13.7143 224405 048-aagoo 
4000 2752 118 23.322 0.00847458 47 47 43 93 16 9 32 1 27.1698 355792 047-aahgt 
5000 5632 118 47.7288 0.00847458 47 47 44 256 65 51 36 0 49.6552 495175 047-aalns 
6000 5760 119 48.4034 0.00840336 47 47 45 75 12 8 37 0 55.5472 567464 047-aanrf 
7000 5760 105 54.8571 0.00952381 48 48.0001 45 305 74 58 37 0 58.4078 630176 048-aalkt 
8000 5887.89 97 60.6999 0.0103093 46 45.9991 46 193 58 47 48 0 60.701 843581 046-aaeqx 
9000 5887.98 97 60.7008 0.0103093 46 45.9998 46 70 18 15 48 0 60.7677 843581 046-aaeqx 
10000 5887.98 97 60.7008 0.0103093 46 45.9999 46 99 29 24 48 0 60.8525 843581 046-aaeqx 
11000 5760 97 59.3814 0.0103093 45 45 45 78 20 16 61 0 64.6882 1329367 045-aafeu 
12000 6016 92 65.3913 0.0108696 47 47 47 103 27 21 65 0 66.2588 1510883 047-aaxga 
13000 23552 92 256 0.0108696 46 46 46 525 150 124 67 0 256 1726190 046-aanke 
14000 102400 102 1003.92 0.00980392 50 50 50 122 30 20 81 0 1034.34 1835727 050-aagio 
15000 102400 98 1044.9 0.0102041 50 50 50 150 35 29 85 0 1055.03 1969952 050-aahmv 
16000 102400 98 1044.9 0.0102041 50 50 50 260 70 56 86 0 1075.72 2019654 050-aaiao 
17000 104448 99 1055.03 0.010101 51 51.0001 51 132 34 27 80 0 1085.44 2212988 051-aahtw 
18000 104448 99 1055.03 0.010101 51 51.0008 51 80 28 16 87 0 1094.97 2521791 051-aajsy 
19000 108544 101 1074.69 0.00990099 53 53 53 118 26 20 87 0 1094.97 2548249 053-aaflz 
20000 102400 98 1044.9 0.0102041 50 50.0004 50 73 22 18 95 0 1085.44 2813610 050-aankc 
21000 108544 100 1085.44 0.01 53 53.0005 53 116 31 24 93 0 1105.92 2954277 053-aahzz 
22000 108544 100 1085.44 0.01 53 53.0001 53 159 30 24 93 0 1093.59 2954277 053-aahzz 
23000 112640 104 1083.08 0.00961538 55 55 55 93 25 22 99 0 1093.59 3234641 055-aadvm 
24000 106496 99 1075.71 0.010101 52 52 52 124 35 25 95 0 1111.77 3349301 052-aanad 
25000 110592 102 1084.24 0.00980392 54 54 54 101 19 15 101 0 1113.48 3549493 054-aaimx 
26000 2.19546e+06 130 16888.1 0.00769231 67 67 67 78 19 13 107 0 17287.1 3769573 067-aaake 
27000 2.16269e+06 128 16896 0.0078125 66 66.0002 66 104 20 12 110 0 17563.6 3896468 066-aacus 
28000 2.19546e+06 129 17019 0.00775194 67 67 67 100 17 14 115 0 24175.5 4015506 067-aabpf 
29000 5.30842e+06 174 30508.1 0.00574713 81 81 81 69 10 8 117 0 30533.8 4177527 081-aaagb 
30000 5.30842e+06 175 30333.8 0.00571429 81 81 81 48 7 4 128 0 32971.5 4330622 081-aaewm 
31000 5.30842e+06 162 32768 0.00617284 81 81 81 40 7 7 127 0 33813.8 4401494 081-aagyd 
32000 5.24288e+06 175 29959.3 0.00571429 80 80 80 42 8 6 121 0 32971.5 4568052 080-aacsj 
33000 5.17734e+06 161 32157.4 0.00621118 79 79 79 44 3 2 134 0 33457.9 4646302 079-aaavv 
34000 6.35699e+06 197 32269 0.00507614 97 97 97 52 1 0 153 0 32974.1 4787535 097-aaamm 
35000 5.30842e+06 162 32768 0.00617284 81 81 81 53 8 7 151 0 33177.6 4924964 081-aaprd 
36000 5.30842e+06 162 32768 0.00617284 81 81 81 62 12 9 141 0 32971.5 4950251 081-aaqdt 
37000 5.24288e+06 163 32164.9 0.00613497 80 80 80 43 10 6 145 0 33177.6 5081854 080-aahjt 
38000 5.24288e+06 162 32363.5 0.00617284 81 81 80 64 17 16 163 0 33378.6 5234776 081-aauod 
39000 5.24288e+06 162 32363.5 0.00617284 80 80 80 41 2 2 156 0 33386.3 5392512 080-aamkh 
40000 5.11181e+06 158 32353.2 0.00632911 78 78.0017 78 47 5 5 166 0 33177.6 5510280 078-aabdf 
41000 5.30842e+06 162 32768 0.00617284 81 81 81 45 9 8 165 0 33386.3 5626619 081-abana 
